Travel ID,Card Type,Weekday,Date,Departure City,Departure,Check-out,Arrival City,Destination,Type,Product
1031,Personal,7,2021-12-11,Rotterdam,Rotterdam Centraal,15:06,Den Haag,Den Haag Laan Van NOI,Train,Reizen op Rekening Trein
200,Student,2,2021-12-13,Amsterdam,Centraal Station,15:25,Den Haag,Laan van NOI,Train,Student Week Vrij (2e klas)
199,Student,2,2021-12-13,Utrecht,Utrecht Centraal,15:21,Den Haag,Den Haag Centraal,Train,Student Week Vrij (2e klas)
197,Student,2,2021-12-13,Utrecht,Utrecht CS Centrumzijde,8:25,Utrecht,Utrecht Padualaan,Tram,Student Week Vrij (2e klas)
198,Student,2,2021-12-13,Utrecht,Utrecht Padualaan,14:32,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
196,Student,2,2021-12-13,Voorburg,Voorburg,8:11,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
202,Student,7,2021-12-18,Voorburg,Leidschendam-Voorburg,15:48,Den Haag,Wilhelminaplein,Tram,Student Week Korting (2e klas)
201,Student,7,2021-12-18,Voorburg,Voorburg Rozenboomlaan,15:06,Voorburg,Voorburg Station L'dam-Voorburg;0,Bus,Student Week Korting (2e klas)
1032,Personal,1,2021-12-19,Voorburg,Voorburg Station L'dam-Voorburg,9:33,Voorburg,Voorburg Rozenboomlaan,Bus,Reizen op Rekening Bus Tram Metro
1034,Personal,1,2021-12-26,Den Haag,Den Haag Laan Van NOI,15:10,Haarlem,Haarlem,Train,Reizen op Rekening Trein
1035,Personal,1,2021-12-26,Haarlem,Haarlem,23:23,Den Haag,Den Haag Laan Van NOI,Train,Reizen op Rekening Trein
204,Student,3,2021-12-28,Voorburg,Voorburg,14:20,Maastricht,Maastricht,Train,Student Week Vrij (2e klas)
207,Student,5,2021-12-30,Den Haag,Den Haag Centraal,14:29,Voorburg,Voorburg Heer Hubrechtstraat,Bus,Student Week Vrij (2e klas)
206,Student,5,2021-12-30,Eindhoven,Eindhoven Centraal,14:13,Den Haag,Den Haag Centraal,Train,Student Week Vrij (2e klas)
205,Student,5,2021-12-30,Maastricht,Maastricht,12:35,Eindhoven,Eindhoven Centraal,Train,Student Week Vrij (2e klas)
212,Student,6,2021-12-31,Amsterdam,Centraal Station,20:31,Amsterdam,Noord,Metro,Student Week Vrij (2e klas)
208,Student,6,2021-12-31,Den Haag,Den Haag Laan Van NOI,13:16,Amsterdam,Amsterdam Zuid,Train,Student Week Vrij (2e klas)
211,Student,6,2021-12-31,Amsterdam,Hilversumstraat,17:27,Amsterdam,Dapperstraat,Bus,Student Week Vrij (2e klas)
210,Student,6,2021-12-31,Amsterdam,Station Noord,13:56,Amsterdam,Hilversumstraat,Bus,Student Week Vrij (2e klas)
209,Student,6,2021-12-31,Amsterdam,Station Zuid,13:38,Amsterdam,Noord,Metro,Student Week Vrij (2e klas)
